Beer Name,Brewery Name,Style,ABV,My Rating,Global Rating,Beer URL,Brewery Filepath,Image URL
Azure,Tree House Brewing Company,IPA - Imperial / Double New England / Hazy,8%,4.25,4.25561,https://untappd.com/b/tree-house-brewing-company-azure/4849356,https://untappd.com/treehousebrewco,https://assets.untappd.com/site/beer_logos/beer-4849356_fb25e_sm.jpeg
Helles Schlenkerla Lagerbier,"Schlenkerla (""Heller-Bräu"" Trum)",Lager - Helles,4.30%,4,3.47835,https://untappd.com/b/schlenkerla-heller-brau-trum-helles-schlenkerla-lagerbier/19471,https://untappd.com/Schlenkerla-Brewery,https://assets.untappd.com/site/beer_logos/beer-19471_b08f7_sm.jpeg
Convivial Suaréz,Grassroots Brewing,Farmhouse Ale - Saison,6%,5,4.17326,https://untappd.com/b/grassroots-brewing-convivial-suarez/327210,https://untappd.com/GrassrootsBrewing,https://assets.untappd.com/site/beer_logos/beer-_327210_sm_89c40de4efe1bac8d6049d11c714f6.jpeg
Double Manilita,Hill Farmstead Brewery,IPA - Imperial / Double New England / Hazy,8%,4.25,4.21314,https://untappd.com/b/hill-farmstead-brewery-double-manilita/6745272,https://untappd.com/HillFarmsteadBrewery,https://assets.untappd.com/site/brewery_logos/brewery-2562_e7536.jpeg
This Land Is Your Land,Tree House Brewing Company,IPA - Imperial / Double New England / Hazy,8%,4.25,4.3324,https://untappd.com/b/tree-house-brewing-company-this-land-is-your-land/6764430,https://untappd.com/treehousebrewco,https://assets.untappd.com/site/brewery_logos/brewery-treehousebrewingcompany_20084.jpeg
Little Machine,Tree House Brewing Company,Pale Ale - New England / Hazy,5.50%,4.5,4.1221,https://untappd.com/b/tree-house-brewing-company-little-machine/4454396,https://untappd.com/treehousebrewco,https://assets.untappd.com/site/beer_logos/beer-4454396_756e0_sm.jpeg
Oh...,Other Half Brewing Co.,IPA - New England / Hazy,6%,4.25,4.18924,https://untappd.com/b/other-half-brewing-co-oh/2322082,https://untappd.com/OtherHalfBrewingCompany,https://assets.untappd.com/site/beer_logos/beer-2322082_cac0e_sm.jpeg
NOBO,Monument City Brewing,IPA - New England / Hazy,6.50%,4,4.06825,https://untappd.com/b/monument-city-brewing-nobo/2300605,https://untappd.com/Monument_City_Brewing,https://assets.untappd.com/site/beer_logos/beer-2300605_e8234_sm.jpeg
Birra Dolomiti Pils,Fabbrica di Pedavena,Pilsner - Italian,4.90%,3.75,3.20111,https://untappd.com/b/fabbrica-di-pedavena-birra-castello-birra-dolomiti-pils/18580,https://untappd.com/w/fabbrica-di-pedavena/5024,https://assets.untappd.com/site/beer_logos/beer-18580_c6ab8_sm.jpeg
Carrie Furnace,Dancing Gnome,IPA - American,6.80%,3.5,4.02641,https://untappd.com/b/dancing-gnome-carrie-furnace/6726565,https://untappd.com/DancingGnome,https://assets.untappd.com/site/beer_logos/beer-6726565_f39ce_sm.jpeg
