"Brewery Name","description","image_url","ratingValue","bestRating","reviewCount","streetAddress","addressLocality","addressRegion","telephone","warningservesCuisine"
"Tree House Brewing Company","Tree House Brewing Company brews a vast array of ales.  The offerings vary based on the season, our moods, and innovations discovered in the midst of day in and day out brewing.  Our artisan brewery knows no bounds and we are driven by an intense curiosity of ingredients and how they blend together to create something special.","https://assets.untappd.com/site/brewery_logos/brewery-treehousebrewingcompany_20084.jpeg","4.316","5","5845122","129 Sturbridge Rd","Charlton","MA","",""
"Schlenkerla (""Heller-Bräu"" Trum)","Schlenkerla, the historic smoked beer brewery.

In the middle of the old part of Bamberg, directly beneath the mighty cathedral, one can find the smoked beer brewery Schlenkerla. First mentioned in 1405 as ""house of the blue lion"" and now run by the Trum family in the 6th generation, it is the fountain of Aecht Schlenkerla Rauchbier (Original Schlenkerla Smokebeer), Bamberg's Specialty for centuries.

The Original Schlenkerla Smokebeer is here at the brewery tavern still being tapped directly from the wooden barrel according to old tradition.","https://assets.untappd.com/site/brewery_logos/brewery-2001_78248.jpeg","3.57","5","473604","Dominikanerstraße 6","Bamberg Germany","Bayern","",""
"Grassroots Brewing","Informed by travel and friendship, Grassroots Brewing creates artisan ales inspired by experience and imagination.","https://assets.untappd.com/site/brewery_logos/brewery-grassrootsbrewing_8022.jpeg","4.133","5","89927","403 Hill Rd","Greensboro Bend","VT","",""
"Hill Farmstead Brewery","Hill Farmstead Brewery is the culmination of many years of travel and insight—of experience and education—of friendships and explorations.

The brewery is the revival and continuation of 220 years of Hill heritage and hand crafted history in North Greensboro, Vermont.","https://assets.untappd.com/site/brewery_logos/brewery-2562_e7536.jpeg","4.313","5","1528408","403 Hill Rd","Greensboro","VT","",""
"Other Half Brewing Co.","In 2014, Sam Richardson, Matt Monahan and Andrew Burman founded Other Half Brewing Company, a local brewery in New York City with a simple mission: to create beers that they wanted to drink from a company that they wanted to be a part of.

Their vision was to build a passionate team that brewed great beers in the state of New York—done so with effort and thoughtfulness—to represent the “Other Half” of the industry.

Today, Other Half craft beers in their Brooklyn brewery and are dedicated to collaborating with breweries both in New York as well as across the world in an effort to constantly move the industry forward while elevating the craft.

The Other Half team believes that local breweries play an important role in their communities which is why they partner with these other likeminded brewers and brands in local nabes across the country and the world—but always return to their home state of New York and their Brooklyn taproom.","https://assets.untappd.com/site/brewery_logos_hd/brewery-94785_ca64f_hd.jpeg","4.209","5","5493000","195 Centre St","Brooklyn","NY","",""
"Monument City Brewing","","https://assets.untappd.com/site/brewery_logos/brewery-164880_dda15.jpeg","3.773","5","94519","1 N Haven St","Baltimore","MD","",""
"Fabbrica di Pedavena","","https://assets.untappd.com/site/brewery_logos/brewery-FabbricadiPedavena_5024.jpeg","3.181","5","77978","78 Viale Vittorio Veneto","Pedavena Italy","Veneto","",""
"Dancing Gnome","We unapologetically brew hop pronounced styles and believe in the process of designing, refining, and perfecting our creations. 

With the understanding and appreciation of tradition, we take calculated liberties to forge a new path for the American Ale.

We believe in eudaimonia, indulgence, and a harmonious blend of earnest work and ebullient play. We believe in the dichotomy of reverent traditions and brazen pioneers.","https://assets.untappd.com/site/brewery_logos_hd/brewery-203121_6b75e_hd.jpeg","4.095","5","453116","1025 Main St","Pittsburgh","PA","",""
"Mortals Key Brewing Company","","https://assets.untappd.com/site/brewery_logos/brewery-279261_2bb16.jpeg","3.685","5","9236","4224 East Lake Road","Jamestown","PA","",""
"Pittsburgh Brewing Company","Since 1861, Pittsburgh Brewing Company has always been committed to a few things: deep roots in the Pittsburgh community, strong tradition, innovation, and of course, brewing great beer. We've been at it for 160 years, and with every bottle we keep getting better.","https://assets.untappd.com/site/brewery_logos/brewery-7967_f2566.jpeg","3.056","5","96402","150 Ferry St","Creighton","PA","",""
"Lolev Beer","Haze • Crispy • Funky • Oaked","https://assets.untappd.com/site/brewery_logos_hd/brewery-519872_da7df_hd.jpeg","4.117","5","66328","5247 Butler St","Pittsburgh","PA","",""
"Commonwealth Brewing Company","At Commonwealth Brewing Company, we believe that beer should be adventurous, diverse, extremely drinkable, and sometimes even wild. We uphold rustic farmhouse traditions, huge hop American styles, and the complex depths of wild fermentations. Located in the newly renovated, former Chesapeake Beach Fire & Rescue station in Virginia Beach, we’re proud to continue the tradition as a local gathering place. We are so thankful to be able to do what we love in a place we love.","https://assets.untappd.com/site/brewery_logos_hd/brewery-13440_7c33b_hd.jpeg","3.971","5","438782","2444 Pleasure House Rd ","Virginia Beach","VA","",""
"Magnanimous Brewing","No Brew Gods. No Brew Masters.
Tasting rooms in Tampa Heights & Seminole Heights","https://assets.untappd.com/site/brewery_logos_hd/brewery-399672_9303a_hd.jpeg","4.059","5","173389","1420 N Florida Ave","Tampa","FL","",""
"Brujos Brewing","Crafting Liquid Spells - Portland, Oregon.","https://assets.untappd.com/site/brewery_logos_hd/brewery-178746_afed5_hd.jpeg","4.387","5","135574","2377 NW Wilson St","Portland","OR","",""
"Messorem ","Messorem is a craft brewery by the Lachine canal in the south-west of Montreal, Quebec, Canada.","https://assets.untappd.com/site/brewery_logos_hd/brewery-427314_4eb95_hd.jpeg","4.222","5","542468","2233 Rue Pitt","Montreal Canada","QC","",""
"Long Live Beerworks","Independent Providence-based brewery focusing on IPAs, sours + stouts.","https://assets.untappd.com/site/brewery_logos/brewery-246374_e16e1.jpeg","4.173","5","314656","40R Sprague Street","Providence","RI","",""
"Wheatland Spring Farm + Brewery","Estate brewery growing beer. Truly.","https://assets.untappd.com/site/brewery_logos_hd/brewery-433200_bb48a_hd.jpeg","4.042","5","32477","38506 John Wolford Rd","Waterford","VA","",""
"Parish Brewing Co.","A small brewery in Cajun country doing battle against boring tasteless swill.  Our brews wont make you better looking but they taste great.  Drink dat.","https://assets.untappd.com/site/brewery_logos/brewery-parishbrewingco_10253.jpeg","4.099","5","657519","229 Jared Dr.","Broussard","LA","",""
"von Trapp Brewing","Over the course of many visits to Austria, Johannes von Trapp, the youngest son of Maria and the Baron, gained an appreciation for the crisp, clean Austrian lager beers.  When the craft beer movement in the United States gained momentum in the early 1990s, there was a noticeable lack of focus on lagers.  It’s not surprising, considering that lagers are more challenging to brew, take longer to mature, and are therefore more expensive to create.  For two decades Johannes dreamed of building an Austrian-style brewery at the Trapp Family Lodge, and in 2010 that dream came to fruition.  A humble brewery with capacity for 2,000 barrels per year quickly attracted attention under the name Trapp Lager, and the brewery received requests from all over the United States.  The von Trapp family, who had always been reticent to commercialize their family heritage, realized that they had a product deserving of the family name.  The new facility, completed in 2015 under the name von Trapp Brewing, allowed the family to expand beyond their home territory and spread the gospel of craft lagers.","https://assets.untappd.com/site/brewery_logos_hd/brewery-4157_0ee20_hd.jpeg","3.654","5","232109","1333 Luce Hill Rd","Stowe","VT","",""
"Heliotrope Brewery","Heliotrope is a farmhouse-style brewery committed to the production of rustic ales and lagers.","https://assets.untappd.com/site/brewery_logos_hd/brewery-451361_dac98_hd.jpeg","3.86","5","5901","128 S Main St","Lexington","VA","",""
"Fidens Brewing Co.","The idea was simple from the start. Let’s open a small brewery and try to do it ourselves in Albany, NY. We kicked around ideas of what we would need to do while on road trips to our favorite breweries near and far. The truth is, we didn't have any experience outside of one of us cleaning kegs and packaging beer in college. It was just a dream to be able to call it our jobs and to make it on our own. ","https://assets.untappd.com/site/brewery_logos_hd/brewery-426930_f396a_hd.jpeg","4.386","5","678948","897 Broadway","Albany","NY","",""
"CLAG Brewing Company","","https://assets.untappd.com/site/brewery_logos_hd/brewery-366410_6915d_hd.jpeg","4.289","5","129279","216 Columbus Ave","Sandusky","OH","",""
